"female","wjtest01","wjtest07","wjtest10","age","cutoff","freelunch","agexcutoff","race"
0,2,7,9,-154,0,1,0,"black"
0,4,3,7,-297,0,1,0,"hispanic"
0,3,4,2,-53,0,1,0,"hispanic"
1,3,4,0,-96,0,1,0,"hispanic"
0,4,6,11,-60,0,1,0,"black"
0,3,1,0,-293,0,0,0,"white"
0,5,0,0,-200,0,1,0,"hispanic"
1,14,12,15,-105,0,1,0,"hispanic"
1,1,3,0,-331,0,1,0,"hispanic"
1,3,1,9,-189,0,1,0,"white"
0,11,9,14,-301,0,1,0,"hispanic"
0,5,6,10,-10,0,0,0,"hispanic"
1,13,4,6,-207,0,1,0,"black"
0,0,11,3,-103,0,1,0,"other"
1,2,2,1,-328,0,0,0,"hispanic"
1,0,6,12,-145,0,1,0,"hispanic"
1,2,12,6,-320,0,1,0,"black"
0,0,0,0,-265,0,0,0,"hispanic"
1,11,8,6,-346,0,0,0,"black"
1,11,3,9,-251,0,1,0,"hispanic"
1,3,7,10,-7,0,1,0,"hispanic"
1,2,2,1,190,1,1,190,"black"
1,10,11,17,146,1,1,146,"white"
0,1,5,0,-231,0,1,0,"hispanic"
0,4,5,9,-33,0,1,0,"hispanic"
1,4,5,9,-11,0,1,0,"hispanic"
1,7,4,6,-291,0,1,0,"white"
1,0,1,0,-246,0,1,0,"hispanic"
0,1,6,0,-115,0,1,0,"hispanic"
0,4,6,11,-71,0,1,0,"white"
1,0,0,0,-35,0,1,0,"hispanic"
0,0,0,0,-8,0,1,0,"black"
0,1,3,0,-349,0,1,0,"hispanic"
1,0,5,0,-79,0,1,0,"hispanic"
1,1,3,5,-302,0,1,0,"black"
0,1,1,2,-236,0,1,0,"hispanic"
1,2,3,0,-240,0,1,0,"hispanic"
1,10,8,11,-113,0,1,0,"white"
1,0,3,0,-214,0,1,0,"hispanic"
1,0,3,0,-112,0,1,0,"hispanic"
1,6,2,10,-258,0,0,0,"white"
0,1,1,1,-238,0,1,0,"white"
1,2,5,2,-90,0,1,0,"hispanic"
1,0,6,0,-12,0,1,0,"hispanic"
1,6,4,2,90,1,1,90,"hispanic"
0,3,7,11,260,1,1,260,"hispanic"
0,6,7,13,1,1,1,1,"hispanic"
0,12,11,16,329,1,1,329,"hispanic"
0,0,0,9,-160,0,0,0,"hispanic"
0,3,12,0,-297,0,0,0,"white"
0,8,12,16,-314,0,1,0,"white"
0,10,11,2,-341,0,1,0,"black"
0,1,1,2,-150,0,1,0,"hispanic"
